Rating,Helpfullness,Review Title,Reviewer Name,Review Date,Review Text
10,495 out of 992 found this helpful,One of the finest TV series coming from India.,authentic_writer,15 May 2020,"I was hooked to it from the very first episode, the main character is a true representation of the everyday man, flawed yet tenacious. The characters were intricately put together and the pacing was absolutely perfect. This is an absolute gem and it needs to be experienced. Absolutely loved it, cannot wait for Season 2."
10,73 out of 140 found this helpful,Superb acting with superb script and direction make a superb movie,saurabhsharma-63079,17 May 2020,"This movie revolves around a inspector who is solving case and our system which is rotten is real and reel life both. Alhawat ji acting was superb and his Haryanvi accent and style ,look Acting and everything was amazing and worth for praising He totally steal the show the on him only. These types of movie is only showing how such type of actors are brilliant and capable of doing big things and the story also tells that public will not praise And tolerate stupid stories with big actors Theory and in future, your work and story and direction will be everything.
Alhawat ji you were amazing and the one also who was is subordinate and preparing for IPS both were amazing.Loved it"
10,368 out of 785 found this helpful,Fantastic,ansegal,15 May 2020,Spell bound I was and for a change the police seems real and courtyside good..yes as always there that liberal agenda and that voice of how the moslem are mistreated. But that seems to be set agenda of Bollywood. The series is so enthralling that I bing watched it all night 🌙 oh the lead police inspector his an very very well crafter role. Loved it he is the protagonist the series is from his view
10,298 out of 642 found this helpful,One of finest of 2020,aspnishanth-81860,15 May 2020,"When u start watch it...you will binge watch it...
Starts to ask about season 2..
That's the I want to say....🔥🔥🔥"
10,53 out of 102 found this helpful,Rating A+ Not the usual Good versus Evil,ankurchakraborty-83075,19 May 2020,"I'm not much into those series whose seasons or episodes are too long. This one is neither. Well written amazingly executed for a series, this will create a storm on peoples emotions for a lot of reasons. So a lot of people are going to hate this series for this and for other reasons.Best thing about the story is this is not the usual police procedural. Its starts that way about killing a high profile journalist to proving them they are terrorists to getting to conclusion that this was never about the journalist, it was always about the hitman and killing him. And then everything going down the toilet.Jaideep Ahlawat as Inspector Hathiram Chaudhary was so natural. This is his lead role and he was simply superb. He was so flawless and made it look like a simple acting job. His frustrating part which he would sometimes take out on his junior and also apologised to him for being mean. There was a scene where Hathiram kept on kicking one of the suspects who was at first female then turned to be a transgender, as he was taking out his entire life's frustration and anger on one person. He was also shown to be remorseful and apologetic for his behaviour. More he dug into the suspects pasts, it was clear that he wasn't angry or disgusted, he felt pity for them. Though Hathiram's relationship with his wife Renu Chaudhary portrayed by Gul Panag and son wasn't major for the story but it had an impact in defining the character. What i liked most is that his relationship with his father wasn't much explored or it would have deviate form the story.Abhishek Banerjee had 3-4 lines in the entire series. Everyone knows about his acting capabilities shown in Street and Mirzapur. His negative screen presence is extremely gravity defying. Every time he came on i was like, so okay this character is a psychopath, he's going to do something and then he doesn't. Every time he was on screen he left with a cliffhanger, as if you want him to do something. This was Abhishek Banerjee's method acting, doing nothing and watching with dead eyes. There was a specific scene where his character kills three boys with a hammer and he was just sitting there as an animal who just hunted and is tired.I won't say Neeraj Kabi's role as Journalist Sanjeev Mehra was his best. There wasn't much room for improvement or improvisation since its known what Neeraj Kabi is capable of. Even with restrictions he played the role of big time egoistic journalist as best as he could. There are only two moments which had impact on the character. First was when he realised his wife Dolly Mehra portrayed Swastika Mukherjee who had anxiety disorder and was always depending on her husband to calm her down is no longer needed by her since she adopted a stray dog to fill the hole in her life. Second was when Hathiram told him that Sanjeev Mehra was a big guy and he was small but in reality he is just as unimportant as Hathiram and he just looked big. These two were the ego shattering blow to the character.Mairembam Ronaldo Singh as Mary Lyngdoh or Chini and Niharika Lyra Dutt as Sara Matthews was my somewhere in the middle favourite characters. Sara's respect for her hero Sanjeev turned to love to hate since she got to see what he actually is. A big egoistic hypocrite who thinks he owns everything. She ended up resigning after helping Hathiram in his investigation. Chini's biggest character reveal was she wanted money for the operation so that she can marry the person she loved and thats why she was Woking with the criminals.Biggest plus point of the series is not a huge production team was involved. 4 writers, 2 directors, 2 cinematographers and 1 editor. With small teams a huge amount of focus is always on the execution. Story was simply brilliant. A lot of materials were taken from actual events and watching them played out in a drama is just brutal. Social inequalities, sexually abusing children to family disputes to people going to any length to get what they wanted, violence shown in this show especially the one in the school where Tyagi kills 3 students from his school with the hammer and cracks the skull, has never been shown in the Indian entertainment before. I think dogs had a philosophical sense to the show. A yearning to belong or to feel important by others."
10,190 out of 403 found this helpful,Best Hindi Web series on Prime,ishgrewal83,15 May 2020,Outstanding show. Jaideep is too good in lead role as an Inspector. Arguably best hindi web series on Prime or even all platforms. 10/10
9,209 out of 462 found this helpful,Not a sec is a waste of time. Another blast by Drishyam Director,singhprashant0015,15 May 2020,"Amazing direction. Don't think, just go for it !!
A genuine gift in the Lockdown!!!"
1,408 out of 934 found this helpful,Acting is good but story and screenplay is average,rohinibanerjee-50460,15 May 2020,I started with lots of expectations but found it bit slow. Acting wise all actors have done brilliant work especially Jaideep Ahlawat and A banerjee. Story could have better. Neeraj kabi acting was average. One time watch. Dont keep much hopes.
10,131 out of 285 found this helpful,Hard-hitting yet enjoyable.,ashishhoro-49940,15 May 2020,"Paatal Lok has complex and a dark storyline, yet it's like psychological thriller kind of storytelling."
1,302 out of 688 found this helpful,I found it boring.,Taranarana,15 May 2020,No hard feelings but i found this show really boring. It was a short story but it dragged it too far. I hated it. That's it
